Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OR3A1		1	1	127	0.8%	No
LRGUK		3	2	127	1.6%	No
IRS1		1	1	127	0.8%	Yes
ZXDB		1	1	127	0.8%	No
AGAP9		1	1	127	0.8%	No
FAAH2		1	1	127	0.8%	No
PPP1R27		1	1	127	0.8%	No
CYP4X1		1	1	127	0.8%	No
ITGA9		1	1	127	0.8%	No
ITGAD		1	1	127	0.8%	No
ITGAL		1	1	127	0.8%	No
ITGAM		1	1	127	0.8%	No
FOLR3		1	1	127	0.8%	No
KASH5		1	1	127	0.8%	No
GCC1		1	1	127	0.8%	No
CLEC18B		1	1	127	0.8%	No
UTP4		1	1	127	0.8%	No
SPTA1		4	4	127	3.1%	No
ERLIN1		1	1	127	0.8%	No
FIZ1		1	1	127	0.8%	No
CDK2		1	1	127	0.8%	No
SPAG5		1	1	127	0.8%	No
CDC73		2	2	127	1.6%	Yes
SPTAN1		1	1	127	0.8%	No
NKAP		1	1	127	0.8%	No
CDH17		1	1	127	0.8%	No
FOLH1		2	2	127	1.6%	No
CDH16		1	1	127	0.8%	No
ALG10		1	1	127	0.8%	No
BOD1L2		1	1	127	0.8%	No
ITGA5		1	1	127	0.8%	No
PTPN22		1	1	127	0.8%	No
FBXW2		4	3	127	2.4%	Yes
ST6GALNAC2		3	2	127	1.6%	No
ITGB3		1	1	127	0.8%	No
ITGB5		1	1	127	0.8%	No
OR6C1		1	1	127	0.8%	No
FRYL		1	1	127	0.8%	No
ARHGEF39		1	1	127	0.8%	No
OR6C76		1	1	127	0.8%	No
OR6C70		2	2	127	1.6%	No
CDKN2A		1	1	127	0.8%	Yes
POLR3C		1	1	127	0.8%	No
TMEM87B		2	2	127	1.6%	No
ZNF366		1	1	127	0.8%	No
LAS1L		1	1	127	0.8%	No
CDKN1B	3.350e-5	4	3	127	2.4%	Yes
IVNS1ABP		2	2	127	1.6%	No
ZNF688		1	1	127	0.8%	No
CDKN1A		1	1	127	0.8%	Yes
MAIP1		1	1	127	0.8%	No
RIPOR1		1	1	127	0.8%	No
CDK8		1	1	127	0.8%	Yes
FOSL2		1	1	127	0.8%	No
TAF6L		1	1	127	0.8%	No
SLFN14		1	1	127	0.8%	No
SPTBN1		1	1	127	0.8%	No
ITGAX		1	1	127	0.8%	No
SPTBN2		3	3	127	2.4%	No
ITGB2		1	1	127	0.8%	No
SRD5A1		1	1	127	0.8%	No
POLR3F		1	1	127	0.8%	No
ARMH3		1	1	127	0.8%	No
CDS1		1	1	127	0.8%	No
PWWP3A		1	1	127	0.8%	No
INTS1		1	1	127	0.8%	No
MAEL		2	2	127	1.6%	No
OBI1		1	1	127	0.8%	No
CDR2		1	1	127	0.8%	No
CDO1		1	1	127	0.8%	No
ARHGEF37		2	2	127	1.6%	No
SREBF2		1	1	127	0.8%	No
ARGFX		1	1	127	0.8%	No
SRM		1	1	127	0.8%	No
TAS2R30		1	1	127	0.8%	No
ATXN3L		1	1	127	0.8%	No
BICDL1		1	1	127	0.8%	No
PNN		1	1	127	0.8%	No
SSB		1	1	127	0.8%	No
NXF3		1	1	127	0.8%	No
SPRYD3		1	1	127	0.8%	No
SLC52A2		1	1	127	0.8%	No
TMEM209		3	2	127	1.6%	No
CHPF		1	1	127	0.8%	No
SMG9		1	1	127	0.8%	No
SENP7		2	2	127	1.6%	No
CORO7		1	1	127	0.8%	No
CBX8		1	1	127	0.8%	No
CLGN		1	1	127	0.8%	No
ZNF286A		1	1	127	0.8%	No
SRPK2		1	1	127	0.8%	No
PNLIP		1	1	127	0.8%	No
MALRD1		2	2	127	1.6%	No
CARD18		1	1	127	0.8%	No
ACTR6		1	1	127	0.8%	No
CES1		1	1	127	0.8%	No
CENPF		2	2	127	1.6%	No
CENPE		4	3	127	2.4%	No
CENPC		2	1	127	0.8%	No
KIAA1671		1	1	127	0.8%	No
CEL		1	1	127	0.8%	No
ITPRID2		2	2	127	1.6%	No
HNRNPUL1		1	1	127	0.8%	No
MICALL1		4	3	127	2.4%	No
TUBGCP6		1	1	127	0.8%	No
SSR2		1	1	127	0.8%	No
RIMBP3		1	1	127	0.8%	No
POLR2B		1	1	127	0.8%	No
DENND2B		1	1	127	0.8%	No
DNAI2		1	1	127	0.8%	No
KIAA1549L		3	2	127	1.6%	No
KCNK18		1	1	127	0.8%	No
KCTD3		2	2	127	1.6%	No
RTL1		1	1	127	0.8%	No
EMILIN2		2	2	127	1.6%	No
MYLK2		2	2	127	1.6%	No
POLD1		1	1	127	0.8%	Yes
RNFT1		1	1	127	0.8%	No
OBSCN		5	5	127	3.9%	No
CIT		1	1	127	0.8%	No
ZC3HAV1		2	2	127	1.6%	No
ZCCHC3		1	1	127	0.8%	No
POLG		1	1	127	0.8%	Yes
TRIM5		1	1	127	0.8%	No
OR6B3		1	1	127	0.8%	No
POLH		1	1	127	0.8%	No
CEP43		1	1	127	0.8%	Yes
CFTR		1	1	127	0.8%	No
MAGEA11		1	1	127	0.8%	No
MDGA2		1	1	127	0.8%	No
MAGEA12		2	2	127	1.6%	No
POLRMT		3	3	127	2.4%	No
STAT1		2	2	127	1.6%	Yes
MAGEB1		1	1	127	0.8%	No
STAT4		2	2	127	1.6%	Yes
DCAF8L1		2	2	127	1.6%	No
MAGEB2		1	1	127	0.8%	No
STAT3		1	1	127	0.8%	Yes
CEACAM8		1	1	127	0.8%	No
UNC13C		1	1	127	0.8%	No
CLPSL2		1	1	127	0.8%	No
GDF5-AS1		1	1	127	0.8%	No
EIF2AK4		1	1	127	0.8%	No
MACROH2A2		1	1	127	0.8%	No
FHIP1B		1	1	127	0.8%	No
NOP10		1	1	127	0.8%	No
PROM2		1	1	127	0.8%	No
ST14		1	1	127	0.8%	No
PLEKHN1		2	2	127	1.6%	No
TRPV6		1	1	127	0.8%	No
KIRREL2		1	1	127	0.8%	No
SLX9		1	1	127	0.8%	No
POLR2J		1	1	127	0.8%	No
STAC		3	3	127	2.4%	No
DTNBP1		1	1	127	0.8%	No
MAGEA10		1	1	127	0.8%	No
STAU1		1	1	127	0.8%	No
POU2F2		2	2	127	1.6%	No
RNF40		2	2	127	1.6%	No
MAN2A2		1	1	127	0.8%	No
MAN2C1		1	1	127	0.8%	No
POU3F2		1	1	127	0.8%	No
MAN2A1		1	1	127	0.8%	No
JPT1		1	1	127	0.8%	No
TEX55		1	1	127	0.8%	No
ADGRV1		3	2	127	1.6%	No
SAGE1		2	2	127	1.6%	No
MAGEB4		1	1	127	0.8%	No
STAT6		1	1	127	0.8%	Yes
POU5F1		1	1	127	0.8%	Yes
AURKA		1	1	127	0.8%	Yes
MAP1A		2	2	127	1.6%	No
ZRANB3		1	1	127	0.8%	No
MAP1B		1	1	127	0.8%	No
CDKL5		2	2	127	1.6%	No
FAM153A		1	1	127	0.8%	No
AURKC		1	1	127	0.8%	No
MAP2		5	5	127	3.9%	No
PPA1		2	2	127	1.6%	No
ARL10		1	1	127	0.8%	No
GMEB1		1	1	127	0.8%	No
CSMD1		1	1	127	0.8%	No
RAD18		2	2	127	1.6%	No
CELF4		1	1	127	0.8%	No
DBR1		2	2	127	1.6%	No
MYO15A		5	5	127	3.9%	No
CYB5R4		1	1	127	0.8%	No
EMC7		1	1	127	0.8%	No
GARIN4		1	1	127	0.8%	No
POU3F4		1	1	127	0.8%	No
SFI1		2	2	127	1.6%	No
MANBA		2	2	127	1.6%	No
NEK4		1	1	127	0.8%	No
GIT2		1	1	127	0.8%	No
POU4F2		1	1	127	0.8%	No
CNPY3		1	1	127	0.8%	No
MAOA		1	1	127	0.8%	No
CCT8		1	1	127	0.8%	No
MAOB		1	1	127	0.8%	No
NUP58		2	2	127	1.6%	No
URB2		1	1	127	0.8%	No
PRAG1		2	2	127	1.6%	No
PIP4P2		1	1	127	0.8%	No
PPAT		1	1	127	0.8%	No
MARS1		2	2	127	1.6%	No
HORMAD1		1	1	127	0.8%	No
MAS1		1	1	127	0.8%	No
MAT2A		1	1	127	0.8%	No
PPEF1		1	1	127	0.8%	No
CTSA		1	1	127	0.8%	No
SVOP		1	1	127	0.8%	No
TUBD1		1	1	127	0.8%	No
CRYBG1		4	4	127	3.1%	No
SLC30A10		2	2	127	1.6%	No
AKT1		3	3	127	2.4%	Yes
MAPT		1	1	127	0.8%	No
UMODL1		1	1	127	0.8%	No
ARMCX2		4	1	127	0.8%	No
ERRFI1		1	1	127	0.8%	Yes
MARK1		1	1	127	0.8%	No
DNAJC6		2	2	127	1.6%	No
QRICH2		2	2	127	1.6%	No
ERCC6-PGBD3		1	1	127	0.8%	No
RGP1		1	1	127	0.8%	No
TKTL2		1	1	127	0.8%	No
FSCB		2	2	127	1.6%	No
ADCY4		1	1	127	0.8%	No
SIGLEC10		1	1	127	0.8%	No
MBNL1		2	2	127	1.6%	No
WDR53		1	1	127	0.8%	No
LIPF		1	1	127	0.8%	No
ELMO1		1	1	127	0.8%	No
NETO1		1	1	127	0.8%	No
ABCD1		1	1	127	0.8%	No
SNTG1		1	1	127	0.8%	No
PODN		2	2	127	1.6%	No
MATN2		2	2	127	1.6%	No
LCMT2		1	1	127	0.8%	No
DCTN6		1	1	127	0.8%	No
TMEM68		1	1	127	0.8%	No
CNTNAP1		1	1	127	0.8%	No
PIK3R3		1	1	127	0.8%	Yes
NAV2		4	4	127	3.1%	No
NAV3		1	1	127	0.8%	No
ENC1		1	1	127	0.8%	No
AVIL		2	2	127	1.6%	No
HPS4		1	1	127	0.8%	No
MCAM		1	1	127	0.8%	No
HAT1		1	1	127	0.8%	No
WNT3A		1	1	127	0.8%	No
PPM1G		2	1	127	0.8%	No
FARP2		1	1	127	0.8%	No
CCDC18		1	1	127	0.8%	No
PPOX		3	3	127	2.4%	No
MCF2		1	1	127	0.8%	No
GAS7		1	1	127	0.8%	Yes
HERC5		2	2	127	1.6%	No
ZNF823		1	1	127	0.8%	No
UGGT1		2	2	127	1.6%	No
ALDH3B2		1	1	127	0.8%	No
TCEANC2		1	1	127	0.8%	No
NIN		1	1	127	0.8%	Yes
ABCD2		1	1	127	0.8%	No
ALDOA		1	1	127	0.8%	No
FSTL5		1	1	127	0.8%	No
ITGA8		1	1	127	0.8%	No
C2CD5		1	1	127	0.8%	No
ITGA10		1	1	127	0.8%	No
PLXNA3		1	1	127	0.8%	No
C11ORF86		1	1	127	0.8%	No
ELP1		1	1	127	0.8%	No
PNMA2		1	1	127	0.8%	No
PSMD6		1	1	127	0.8%	No
RAB37		2	2	127	1.6%	No
MCM4		2	2	127	1.6%	No
MCM5		1	1	127	0.8%	No
GLRA4		1	1	127	0.8%	No
CHST1		1	1	127	0.8%	No
TRIO		2	2	127	1.6%	No
CNTRL		4	4	127	3.1%	Yes
KIF21B		4	4	127	3.1%	No
ANTXR2		1	1	127	0.8%	No
OLFM3		1	1	127	0.8%	No
FERD3L		1	1	127	0.8%	No
SMG1		2	1	127	0.8%	Yes
OR10J5		1	1	127	0.8%	No
MCL1		1	1	127	0.8%	Yes
MYT1L		5	4	127	3.1%	No
MON2		2	2	127	1.6%	No
RTP3		1	1	127	0.8%	No
TNIK		2	2	127	1.6%	No
ALK		2	2	127	1.6%	Yes
ALOX12		1	1	127	0.8%	No
PPP1R26		1	1	127	0.8%	No
RAD9B		1	1	127	0.8%	No
CEP170		4	4	127	3.1%	No
NEUROG3		1	1	127	0.8%	No
DGKE		1	1	127	0.8%	No
CEP350		4	3	127	2.4%	No
ADGRG4		3	3	127	2.4%	No
CNTN4		1	1	127	0.8%	No
MICU3		1	1	127	0.8%	No
PPFIA3		2	2	127	1.6%	No
AREL1		1	1	127	0.8%	No
AP3B1		1	1	127	0.8%	No
ZC3H11A		1	1	127	0.8%	No
LMO4		1	1	127	0.8%	No
TLK1		1	1	127	0.8%	No
URB1		2	2	127	1.6%	No
OR4C46		1	1	127	0.8%	No
OPN4		2	2	127	1.6%	No
ALOX5		1	1	127	0.8%	No
ZSWIM8		3	3	127	2.4%	No
NCOA6		3	3	127	2.4%	No
API5		1	1	127	0.8%	No
PJA2		1	1	127	0.8%	No
BCAS1		2	2	127	1.6%	No
SEPTIN10		1	1	127	0.8%	No
POM121		1	1	127	0.8%	No
TRPC3		1	1	127	0.8%	No
TRANK1		2	2	127	1.6%	No
TBC1D4		2	2	127	1.6%	No
B4GAT1		1	1	127	0.8%	No
PIM2		1	1	127	0.8%	No
PIAS1		2	1	127	0.8%	No
MID2		1	1	127	0.8%	No
BUD23		1	1	127	0.8%	No
UNC13A		2	2	127	1.6%	No
MYO16		3	3	127	2.4%	No
PRIMPOL		1	1	127	0.8%	No
AMBN		2	2	127	1.6%	No
SNRNP200		1	1	127	0.8%	No
PALLD		1	1	127	0.8%	No
LGR5		1	1	127	0.8%	Yes
TRO		1	1	127	0.8%	No
TOX4		1	1	127	0.8%	No
EEF1A1		3	3	127	2.4%	No
DDX46		1	1	127	0.8%	No
SLC35D2		1	1	127	0.8%	No
OR2T3		1	1	127	0.8%	No
KMO		3	3	127	2.4%	No
OR2T8		2	2	127	1.6%	No
SNAP91		1	1	127	0.8%	No
MADD		4	4	127	3.1%	No
CPSF6		1	1	127	0.8%	No
YARS1		1	1	127	0.8%	No
OGFR		3	3	127	2.4%	No
ZNF292		1	1	127	0.8%	No
PDZD2		2	2	127	1.6%	No
NUAK1		1	1	127	0.8%	No
AMELX		1	1	127	0.8%	No
AMH		1	1	127	0.8%	No
KDM4B		2	2	127	1.6%	No
MAST3		1	1	127	0.8%	No
USP33		2	2	127	1.6%	No
FBF1		2	2	127	1.6%	No
DOP1A		2	2	127	1.6%	No
TRPS1		1	1	127	0.8%	No
COL27A1		2	2	127	1.6%	No
ARSH		2	2	127	1.6%	No
ZBED4		1	1	127	0.8%	No
PRPF18		1	1	127	0.8%	No
PDLIM4		1	1	127	0.8%	No
SYT6		2	2	127	1.6%	No
CASK		1	1	127	0.8%	No
TSC1		1	1	127	0.8%	Yes
RAB35		1	1	127	0.8%	Yes
TSN		1	1	127	0.8%	No
WDFY3		2	2	127	1.6%	No
AMPD1		1	1	127	0.8%	No
AMPD3		1	1	127	0.8%	No
AMPH		1	1	127	0.8%	No
PLCH1		2	2	127	1.6%	No
CYFIP2		2	2	127	1.6%	No
EIF2D		1	1	127	0.8%	No
TMPRSS13		1	1	127	0.8%	No
DGAT2L6		1	1	127	0.8%	No
EEF2		2	2	127	1.6%	No
MKNK1		1	1	127	0.8%	Yes
LILRA1		2	1	127	0.8%	No
EEF1D		1	1	127	0.8%	No
LILRA2		1	1	127	0.8%	No
TSHR		2	2	127	1.6%	Yes
DCAF4L2		1	1	127	0.8%	No
TSPYL1		1	1	127	0.8%	No
CDH24		1	1	127	0.8%	No
SPEN		8	7	127	5.5%	Yes
FBXO21		3	3	127	2.4%	No
GOLGA8A		1	1	127	0.8%	No
TSG101		1	1	127	0.8%	No
GALNT17		1	1	127	0.8%	No
CNOT1		1	1	127	0.8%	No
ANK1		2	2	127	1.6%	No
ANK2		1	1	127	0.8%	No
EFNA1		1	1	127	0.8%	No
ANK3		1	1	127	0.8%	No
TSC2		2	2	127	1.6%	Yes
ABCC11		2	2	127	1.6%	No
C10ORF71		2	2	127	1.6%	No
TTC3		1	1	127	0.8%	No
MIER3		1	1	127	0.8%	No
GZF1		1	1	127	0.8%	No
CHORDC1		1	1	127	0.8%	No
CCDC159		1	1	127	0.8%	No
MEGF8		1	1	127	0.8%	No
MEGF6		2	2	127	1.6%	No
CELSR3		3	3	127	2.4%	No
TPRXL		1	1	127	0.8%	No
EGR2		2	2	127	1.6%	No
APH1A		1	1	127	0.8%	Yes
SHISAL1		2	2	127	1.6%	No
MEGF9		1	1	127	0.8%	No
FAM83H		2	2	127	1.6%	No
DCLRE1C		1	1	127	0.8%	No
TUBA3C		1	1	127	0.8%	No
ARSK		1	1	127	0.8%	No
GLIPR1		1	1	127	0.8%	No
AP3M1		1	1	127	0.8%	No
PABPC1		1	1	127	0.8%	No
SUDS3		1	1	127	0.8%	No
TTN		31	23	127	18.1%	No
KMT5B		2	2	127	1.6%	No
TRIM9		1	1	127	0.8%	No
HEPACAM		1	1	127	0.8%	No
RMDN1		1	1	127	0.8%	No
TLK2		1	1	127	0.8%	No
ZDHHC9		1	1	127	0.8%	No
KDELR3		1	1	127	0.8%	No
TULP1		1	1	127	0.8%	No
L3MBTL4		1	1	127	0.8%	No
UBLCP1		1	1	127	0.8%	No
ARFGEF3		1	1	127	0.8%	No
ZNF496		1	1	127	0.8%	No
C1QTNF5	4.240e-3	1	1	127	0.8%	No
EIF4A2		1	1	127	0.8%	Yes
ZNF337		2	2	127	1.6%	No
ABCA12		2	2	127	1.6%	No
PPP4R3B		1	1	127	0.8%	No
ZNF567		2	2	127	1.6%	No
IFITM10		2	2	127	1.6%	No
NHSL1		2	2	127	1.6%	No
CFAP100		1	1	127	0.8%	No
KIAA0825		1	1	127	0.8%	No
CELA1		1	1	127	0.8%	No
TWIST1		1	1	127	0.8%	No
SNX14		1	1	127	0.8%	No
HIRA		1	1	127	0.8%	Yes
ZNF630		1	1	127	0.8%	No
TXN		1	1	127	0.8%	No
TTLL9		2	1	127	0.8%	No
DUSP21		2	2	127	1.6%	No
SSX2IP		1	1	127	0.8%	No
ZNF114		2	2	127	1.6%	No
FAM205A		2	2	127	1.6%	No
EIF5		1	1	127	0.8%	No
EIF4G1		2	2	127	1.6%	No
PCDHB5		1	1	127	0.8%	No
IGFN1		2	2	127	1.6%	No
CBLL2		1	1	127	0.8%	No
ARSI		1	1	127	0.8%	No
MROH6		1	1	127	0.8%	No
TES		1	1	127	0.8%	No
ZBED8		2	2	127	1.6%	No
CNTNAP3B		3	2	127	1.6%	No
GALNT11		1	1	127	0.8%	No
WFIKKN1		1	1	127	0.8%	No
TRPC4AP		2	2	127	1.6%	No
FER1L6		2	2	127	1.6%	No
SPC24		2	1	127	0.8%	No
TAF1B		1	1	127	0.8%	No
ATP6V0A4		3	3	127	2.4%	No
TAF1A		2	2	127	1.6%	No
TMEM67		2	2	127	1.6%	No
DACH2		1	1	127	0.8%	No
ZNF503		1	1	127	0.8%	No
ITPKB		2	2	127	1.6%	No
CATSPER2		1	1	127	0.8%	No
OR52B4		1	1	127	0.8%	No
ITPR1		1	1	127	0.8%	No
ITPR2		3	3	127	2.4%	No
TRAF3IP1		1	1	127	0.8%	No
OR56A4		1	1	127	0.8%	No
GPR153		1	1	127	0.8%	No
ITK		1	1	127	0.8%	Yes
ZFTRAF1		1	1	127	0.8%	No
HIP1R		1	1	127	0.8%	No
KANSL1L		1	1	127	0.8%	No
ZNF559-ZNF177		1	1	127	0.8%	No
PEG10		1	1	127	0.8%	No
TANC2		1	1	127	0.8%	No
PCLO		5	4	127	3.1%	Yes
DMRTC2		1	1	127	0.8%	No
SLC7A3		1	1	127	0.8%	No
JAK1		2	2	127	1.6%	Yes
JAK2		1	1	127	0.8%	Yes
JAK3		1	1	127	0.8%	Yes
ERC1		1	1	127	0.8%	Yes
CECR2		2	2	127	1.6%	No
ZDHHC12		1	1	127	0.8%	No
C1ORF198		1	1	127	0.8%	No
AIFM2		1	1	127	0.8%	No
ITPR3		5	5	127	3.9%	No
AVL9		1	1	127	0.8%	No
ANO7		2	1	127	0.8%	No
SEMA5A		1	1	127	0.8%	No
CD200R1		2	2	127	1.6%	No
ARHGAP26		1	1	127	0.8%	Yes
TTLL5		2	2	127	1.6%	No
JUP		1	1	127	0.8%	No
SIPA1L3		1	1	127	0.8%	No
CEP112		1	1	127	0.8%	No
KIF1B		1	1	127	0.8%	No
IQSEC2		2	2	127	1.6%	No
AIF1L		1	1	127	0.8%	No
ZBTB43		1	1	127	0.8%	No
PARP10		5	1	127	0.8%	No
TRAPPC6B		1	1	127	0.8%	No
JARID2		2	2	127	1.6%	Yes
NUF2		1	1	127	0.8%	Yes
PLB1		3	3	127	2.4%	No
IFFO2		1	1	127	0.8%	No
ZC3H13		1	1	127	0.8%	No
ARHGEF4		2	2	127	1.6%	No
DOK2		1	1	127	0.8%	No
GPRASP2		2	2	127	1.6%	No
ADAM29		1	1	127	0.8%	No
SETD1B		1	1	127	0.8%	Yes
UBE2M		1	1	127	0.8%	No
SAMD12		1	1	127	0.8%	No
SPAG9		1	1	127	0.8%	No
BTAF1		1	1	127	0.8%	No
KCNA2		1	1	127	0.8%	No
TBC1D9B		1	1	127	0.8%	No
GGA2		1	1	127	0.8%	No
SETX		1	1	127	0.8%	No
EMC1		1	1	127	0.8%	No
CAND2		2	1	127	0.8%	No
SLC13A2		1	1	127	0.8%	No
SLC7A6		1	1	127	0.8%	No
ADAMTS13		3	3	127	2.4%	No
ADAMTS5		1	1	127	0.8%	No
KCND1		1	1	127	0.8%	No
KIF13A		2	2	127	1.6%	No
VWA8		2	2	127	1.6%	No
EML4		1	1	127	0.8%	Yes
NEUROD6		1	1	127	0.8%	No
NUP210L		4	4	127	3.1%	No
NEUROG2		1	1	127	0.8%	No
ZNF791		1	1	127	0.8%	No
POLM		1	1	127	0.8%	No
PRDM16		1	1	127	0.8%	Yes
PRDM14		1	1	127	0.8%	Yes
PRC1		2	2	127	1.6%	No
PRDM15		1	1	127	0.8%	No
C16ORF95		1	1	127	0.8%	No
KCNC3		1	1	127	0.8%	No
CMTR1		1	1	127	0.8%	No
TMTC4		1	1	127	0.8%	No
HECW1		2	2	127	1.6%	No
BLTP3B		1	1	127	0.8%	No
SWAP70		2	2	127	1.6%	No
MYCBP2		1	1	127	0.8%	No
POMGNT2		1	1	127	0.8%	No
KCNA5		1	1	127	0.8%	No
ZSCAN10		1	1	127	0.8%	No
KCNA7		1	1	127	0.8%	No
FBH1		1	1	127	0.8%	No
KCNB1		1	1	127	0.8%	No
CLDN12		1	1	127	0.8%	No
ANGPTL1		1	1	127	0.8%	No
CCDC63		3	3	127	2.4%	No
MYO18A		1	1	127	0.8%	Yes
PAPSS1		1	1	127	0.8%	No
C5ORF60		1	1	127	0.8%	No
PPTC7		1	1	127	0.8%	No
SCYL2		1	1	127	0.8%	No
TVP23C		1	1	127	0.8%	No
SYT7		1	1	127	0.8%	No
PIAS2		2	1	127	0.8%	No
YEATS2		5	5	127	3.9%	No
ARHGAP10		1	1	127	0.8%	No
KCND2		1	1	127	0.8%	No
DYNC2H1		2	2	127	1.6%	No
TMEM179B		1	1	127	0.8%	No
KCNF1		1	1	127	0.8%	No
FAM111B		1	1	127	0.8%	No
KCNH1		4	4	127	3.1%	No
KCNJ15		1	1	127	0.8%	No
CLDN8		1	1	127	0.8%	No
ASH2L		2	2	127	1.6%	No
ZNF729		1	1	127	0.8%	No
FRMD4A		2	2	127	1.6%	No
PACS1		1	1	127	0.8%	No
CLDN2		1	1	127	0.8%	No
CHD3		2	2	127	1.6%	No
CHD2		1	1	127	0.8%	Yes
IQGAP2		1	1	127	0.8%	No
CHD1		2	2	127	1.6%	No
TMC4		1	1	127	0.8%	No
C19ORF54		1	1	127	0.8%	No
ZNF266		1	1	127	0.8%	No
NCR3LG1		1	1	127	0.8%	No
MCPH1		2	1	127	0.8%	No
ZNF780A		1	1	127	0.8%	No
NEK6		1	1	127	0.8%	No
KCNJ10		1	1	127	0.8%	No
KCNJ12		1	1	127	0.8%	No
CHD4		8	7	127	5.5%	Yes
NUDCD2		1	1	127	0.8%	No
ACTR8		1	1	127	0.8%	No
SLC15A5		1	1	127	0.8%	No
KCNN3		2	2	127	1.6%	No
EEIG1		1	1	127	0.8%	No
CHM		1	1	127	0.8%	No
TUT7		1	1	127	0.8%	No
OR2J1		1	1	127	0.8%	No
OR2J3		1	1	127	0.8%	No
NLRX1		1	1	127	0.8%	No
CHIT1		1	1	127	0.8%	No
CHI3L1		1	1	127	0.8%	No
STX3		1	1	127	0.8%	No
VTCN1		1	1	127	0.8%	Yes
PRUNE2		2	2	127	1.6%	No
HEATR4		1	1	127	0.8%	No
ZSCAN1		1	1	127	0.8%	No
KCNMA1		1	1	127	0.8%	No
SEC14L6		1	1	127	0.8%	No
CAPN9		2	1	127	0.8%	No
TMEM259		1	1	127	0.8%	No
CHRM4		1	1	127	0.8%	No
TBX19		1	1	127	0.8%	No
LYST		3	3	127	2.4%	No
SART1		1	1	127	0.8%	No
DNAJA3		1	1	127	0.8%	No
PPP1R3B		1	1	127	0.8%	No
TERF2IP		1	1	127	0.8%	No
ZNF776		1	1	127	0.8%	No
PLK2		1	1	127	0.8%	Yes
CHN2		1	1	127	0.8%	No
AS3MT		1	1	127	0.8%	No
KCNQ2		2	2	127	1.6%	No
PLAC1		1	1	127	0.8%	No
SAMD14		1	1	127	0.8%	No
STXBP3		1	1	127	0.8%	No
NES		3	3	127	2.4%	No
KDM5B		4	4	127	3.1%	No
SLC24A3		1	1	127	0.8%	No
STYX		1	1	127	0.8%	No
OR9A4		1	1	127	0.8%	No
SHOC1		3	2	127	1.6%	No
SUPT6H		3	3	127	2.4%	No
CHRNB3		2	2	127	1.6%	No
GAL3ST4		1	1	127	0.8%	No
OR4K13		1	1	127	0.8%	No
