Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PALLD		1	1	88	1.1%	No
TRO		1	1	88	1.1%	No
TOX4		1	1	88	1.1%	No
PHC2		1	1	88	1.1%	No
OR2T3		1	1	88	1.1%	No
OR14K1		1	1	88	1.1%	No
MADD		3	3	88	3.4%	No
CPSF6		1	1	88	1.1%	No
RRP1		1	1	88	1.1%	No
OGFR		1	1	88	1.1%	No
ZNF292		1	1	88	1.1%	No
WDTC1		3	3	88	3.4%	No
USP33		1	1	88	1.1%	No
WWP1		3	2	88	2.3%	Yes
OR5K3		1	1	88	1.1%	No
WDFY3		1	1	88	1.1%	No
SAMD9L		1	1	88	1.1%	No
AMPD1		3	3	88	3.4%	No
MAPKBP1		2	1	88	1.1%	No
PLCH1		2	2	88	2.3%	No
CYFIP2		1	1	88	1.1%	No
LILRB3		1	1	88	1.1%	No
EEF1G		1	1	88	1.1%	No
LILRA2		1	1	88	1.1%	No
ZNF511		1	1	88	1.1%	No
ANKRD18DP		1	1	88	1.1%	No
CDH24		3	3	88	3.4%	No
SPEN		2	2	88	2.3%	Yes
CDH22		1	1	88	1.1%	No
ANK2		3	3	88	3.4%	No
ANK3		2	2	88	2.3%	No
EFNB2		1	1	88	1.1%	No
EFNA5		1	1	88	1.1%	No
EFNA4		1	1	88	1.1%	No
NTAN1		1	1	88	1.1%	No
ZNF440		1	1	88	1.1%	No
TTC4		1	1	88	1.1%	No
KLHL25		1	1	88	1.1%	No
TTC3		1	1	88	1.1%	No
ARAP3		1	1	88	1.1%	No
ZNF285		1	1	88	1.1%	No
ANPEP		1	1	88	1.1%	No
SLC25A5		1	1	88	1.1%	No
SWSAP1		1	1	88	1.1%	No
CELSR2		2	2	88	2.3%	No
NOMO2		1	1	88	1.1%	No
TPRXL		1	1	88	1.1%	No
SPINK5		1	1	88	1.1%	No
LILRB4		1	1	88	1.1%	No
TUB		1	1	88	1.1%	No
INF2		1	1	88	1.1%	No
TTC31		1	1	88	1.1%	No
ZDHHC6		1	1	88	1.1%	No
TTN		19	10	88	11.4%	No
TTK		1	1	88	1.1%	No
OR52K2		1	1	88	1.1%	No
KMT5B		1	1	88	1.1%	No
OR2T27		1	1	88	1.1%	No
SBDS		1	1	88	1.1%	Yes
EIF2S3		1	1	88	1.1%	No
KDELR3		1	1	88	1.1%	No
EIF2B1		1	1	88	1.1%	Yes
FAM111A		1	1	88	1.1%	No
C1QTNF5	4.240e-3	1	1	88	1.1%	No
EIF4A2		3	2	88	2.3%	Yes
KIF26A		1	1	88	1.1%	No
ABCA12		1	1	88	1.1%	No
PPP4R3B		1	1	88	1.1%	No
NHSL1		1	1	88	1.1%	No
RSL1D1		1	1	88	1.1%	No
TYK2		1	1	88	1.1%	Yes
TYR		1	1	88	1.1%	No
ZNF630		1	1	88	1.1%	No
TNFSF4		1	1	88	1.1%	No
LRTM2		1	1	88	1.1%	No
RGS22		1	1	88	1.1%	No
IFT172		1	1	88	1.1%	No
HAP1		1	1	88	1.1%	No
TES		1	1	88	1.1%	No
CHTF18		1	1	88	1.1%	No
CNTNAP3B		2	2	88	2.3%	No
ELF1		1	1	88	1.1%	No
ELAVL3		2	2	88	2.3%	No
GAPVD1		2	2	88	2.3%	No
SERPINB1		1	1	88	1.1%	No
CCDC142		2	2	88	2.3%	No
UBQLN3		1	1	88	1.1%	No
CFAP70		2	2	88	2.3%	No
ELF3		1	1	88	1.1%	Yes
ITSN2		1	1	88	1.1%	No
STEEP1		1	1	88	1.1%	No
ZNF658		3	3	88	3.4%	No
PCIF1		2	1	88	1.1%	No
CHCHD1		1	1	88	1.1%	No
ITPKA		1	1	88	1.1%	No
XPNPEP3		1	1	88	1.1%	No
ITPKB		1	1	88	1.1%	No
OR56A4		2	2	88	2.3%	No
DCD		1	1	88	1.1%	No
ITIH4		1	1	88	1.1%	No
ITK		1	1	88	1.1%	Yes
CH25H		1	1	88	1.1%	No
PCLO		1	1	88	1.1%	Yes
ATP11AUN		1	1	88	1.1%	No
KDM4C		1	1	88	1.1%	Yes
PPRC1		2	2	88	2.3%	No
JAK2		1	1	88	1.1%	Yes
ERC1		1	1	88	1.1%	Yes
CECR2		1	1	88	1.1%	No
EXPH5		1	1	88	1.1%	No
GPR101		1	1	88	1.1%	No
TAAR8		1	1	88	1.1%	No
REG3G		1	1	88	1.1%	No
TAAR5		1	1	88	1.1%	No
GNPDA2		1	1	88	1.1%	No
PKD2L1		1	1	88	1.1%	No
TTLL5		1	1	88	1.1%	No
SIPA1L3		1	1	88	1.1%	No
JUN		3	3	88	3.4%	Yes
SH2D2A		1	1	88	1.1%	No
DNAJB4		1	1	88	1.1%	No
ARHGEF4		1	1	88	1.1%	No
DIDO1		1	1	88	1.1%	No
ADAM29		1	1	88	1.1%	No
SETD1B		1	1	88	1.1%	Yes
CLSPN		1	1	88	1.1%	No
SDR9C7		1	1	88	1.1%	No
KCNA3		1	1	88	1.1%	No
SETX		1	1	88	1.1%	No
SLC45A1		1	1	88	1.1%	No
ANOS1		1	1	88	1.1%	No
ADAMTS13		1	1	88	1.1%	No
VWA8		1	1	88	1.1%	No
EML4		1	1	88	1.1%	Yes
NUP210L		1	1	88	1.1%	No
ZNF791		1	1	88	1.1%	No
PYGO1		1	1	88	1.1%	No
PRC1		1	1	88	1.1%	No
BLTP3B		2	2	88	2.3%	No
MIGA2		1	1	88	1.1%	No
MYCBP2		4	4	88	4.5%	No
POMGNT2		1	1	88	1.1%	No
LINGO1		1	1	88	1.1%	No
KCNB1		2	2	88	2.3%	No
CCDC63		1	1	88	1.1%	No
MYO18A		1	1	88	1.1%	Yes
PAPSS1		1	1	88	1.1%	No
ANKDD1A		1	1	88	1.1%	No
SCYL2		2	2	88	2.3%	No
MAP3K6		1	1	88	1.1%	Yes
KCNJ2		1	1	88	1.1%	No
RHBDF2		2	2	88	2.3%	No
KANSL3		1	1	88	1.1%	No
YEATS2		1	1	88	1.1%	No
TMEM145		1	1	88	1.1%	No
RPAP3		1	1	88	1.1%	No
DYNC2H1		4	4	88	4.5%	No
SHC4		1	1	88	1.1%	No
KCNG1		1	1	88	1.1%	No
SLC26A6		2	2	88	2.3%	No
CLDN6		1	1	88	1.1%	No
ROGDI		1	1	88	1.1%	No
IQGAP2		1	1	88	1.1%	No
CHD1		1	1	88	1.1%	No
IARS2		1	1	88	1.1%	No
TMC4		2	2	88	2.3%	No
MCPH1		1	1	88	1.1%	No
NEK6		1	1	88	1.1%	No
NCKAP1		1	1	88	1.1%	No
KCNN3		4	4	88	4.5%	No
ATP5IF1		1	1	88	1.1%	No
CHM		1	1	88	1.1%	No
OR2J1		1	1	88	1.1%	No
PRUNE2		1	1	88	1.1%	No
ZSCAN1		1	1	88	1.1%	No
CHL1		1	1	88	1.1%	No
KCNMA1		2	2	88	2.3%	No
CHKA		1	1	88	1.1%	No
LYST		2	2	88	2.3%	No
DNAJA3		1	1	88	1.1%	No
USP6		1	1	88	1.1%	Yes
TBX18		1	1	88	1.1%	No
NEIL1		1	1	88	1.1%	No
PPP1R3B		1	1	88	1.1%	No
RHBDD2		1	1	88	1.1%	No
ZNF776		1	1	88	1.1%	No
C3ORF14		1	1	88	1.1%	No
ZNF547		1	1	88	1.1%	No
CHML		1	1	88	1.1%	No
AS3MT		1	1	88	1.1%	No
PARP8		2	2	88	2.3%	No
KCNQ1		1	1	88	1.1%	No
KCNQ3		1	1	88	1.1%	No
STXBP1		1	1	88	1.1%	No
PLAC1		1	1	88	1.1%	No
KCNS1		1	1	88	1.1%	No
NES		2	2	88	2.3%	No
WDR18		1	1	88	1.1%	No
KDM5B		1	1	88	1.1%	No
KIAA1958		1	1	88	1.1%	No
STAG2		1	1	88	1.1%	Yes
RFPL3		1	1	88	1.1%	No
RFPL2		1	1	88	1.1%	No
SUOX		1	1	88	1.1%	No
KIF3C		1	1	88	1.1%	No
SULT2A1		1	1	88	1.1%	No
TCFL5		2	2	88	2.3%	No
RAPH1		1	1	88	1.1%	No
KIF4B		1	1	88	1.1%	No
OR11H4		1	1	88	1.1%	No
RNASE9		1	1	88	1.1%	No
CKB		1	1	88	1.1%	No
PCDHGB1		1	1	88	1.1%	No
PCDHGA9		1	1	88	1.1%	No
PCDHGB3		2	2	88	2.3%	No
MTOR		1	1	88	1.1%	Yes
PPP1CB		1	1	88	1.1%	Yes
RAI2		2	2	88	2.3%	No
NBEAL1		3	3	88	3.4%	No
LRP5L		1	1	88	1.1%	No
PCDHGA5		1	1	88	1.1%	No
FSHR		2	2	88	2.3%	No
ZNF597		1	1	88	1.1%	No
POTEB		1	1	88	1.1%	No
BIRC6		2	2	88	2.3%	No
CKMT1B		1	1	88	1.1%	No
USP39		1	1	88	1.1%	No
MAMSTR		1	1	88	1.1%	No
TPRX1		1	1	88	1.1%	No
SAMD3		1	1	88	1.1%	No
PPP3CA		2	2	88	2.3%	No
SYT4		1	1	88	1.1%	No
ME2		1	1	88	1.1%	No
AP3S1		1	1	88	1.1%	No
TENM2		1	1	88	1.1%	No
GALNT16		1	1	88	1.1%	No
ESPN		1	1	88	1.1%	No
AXDND1		1	1	88	1.1%	No
NFAT5		2	2	88	2.3%	No
PCDHB14		1	1	88	1.1%	No
DSCAML1		1	1	88	1.1%	No
PCDHB13		2	2	88	2.3%	No
PCDHB12		1	1	88	1.1%	No
REXO1		1	1	88	1.1%	No
OSBPL8		1	1	88	1.1%	No
PCDHB11		2	2	88	2.3%	No
ZNF575		1	1	88	1.1%	No
PPP2R3A		1	1	88	1.1%	No
POLQ		2	2	88	2.3%	Yes
MLC1		1	1	88	1.1%	No
PRB1		1	1	88	1.1%	No
TAF4		1	1	88	1.1%	No
ZFP41		1	1	88	1.1%	No
WHRN		1	1	88	1.1%	No
CLCN6		1	1	88	1.1%	No
CLCN4		1	1	88	1.1%	No
CLCN3		1	1	88	1.1%	No
PRKD2		1	1	88	1.1%	No
ACSBG1		1	1	88	1.1%	No
KLHL6		1	1	88	1.1%	Yes
PMEPA1		1	1	88	1.1%	No
PPP3R1		1	1	88	1.1%	No
CARMIL1		1	1	88	1.1%	No
TENT5A		1	1	88	1.1%	No
MEF2A		3	3	88	3.4%	No
BLTP1		3	3	88	3.4%	No
MEF2C		2	2	88	2.3%	Yes
GALNT5		1	1	88	1.1%	No
NBEAL2		1	1	88	1.1%	No
FBXO28		2	2	88	2.3%	No
PREP		1	1	88	1.1%	No
MEOX1		1	1	88	1.1%	No
MEOX2		1	1	88	1.1%	No
ZNF555		1	1	88	1.1%	No
CLK2		1	1	88	1.1%	No
C14ORF39		1	1	88	1.1%	No
CLK1		1	1	88	1.1%	No
SULF1		1	1	88	1.1%	No
PRRC2C		1	1	88	1.1%	No
CLIC1		1	1	88	1.1%	No
IGKV1D-16		2	1	88	1.1%	No
MXRA5		2	2	88	2.3%	No
DENND4B		3	3	88	3.4%	No
NT5C3A		1	1	88	1.1%	No
ARID5B		1	1	88	1.1%	Yes
MRPL51		1	1	88	1.1%	No
SDR39U1		1	1	88	1.1%	No
MAP3K1	5.560e-11	21	13	88	14.8%	Yes
SEC63		1	1	88	1.1%	No
KIF16B		1	1	88	1.1%	No
MAP3K4		3	2	88	2.3%	No
SRGAP3		1	1	88	1.1%	No
MTMR8		2	2	88	2.3%	No
OTOG		1	1	88	1.1%	No
AP5Z1		1	1	88	1.1%	No
RBM19		1	1	88	1.1%	No
TASP1		1	1	88	1.1%	No
FAM9B		1	1	88	1.1%	No
CHD6		2	2	88	2.3%	No
TARBP1		1	1	88	1.1%	No
RNF10		1	1	88	1.1%	No
ZNF831		2	2	88	2.3%	No
PRTFDC1		1	1	88	1.1%	No
CDKL3		1	1	88	1.1%	No
TRMT1		1	1	88	1.1%	No
STAP2		1	1	88	1.1%	No
SMYD2		1	1	88	1.1%	No
MEP1A		1	1	88	1.1%	No
SUPT7L		1	1	88	1.1%	No
PIPOX		1	1	88	1.1%	No
SMYD1		1	1	88	1.1%	No
SLITRK6		1	1	88	1.1%	No
OTUD7B		2	2	88	2.3%	No
ZCCHC7		1	1	88	1.1%	No
MELTF		1	1	88	1.1%	No
PRKAR1A		1	1	88	1.1%	Yes
SPOCD1		1	1	88	1.1%	No
ZNF345		1	1	88	1.1%	No
CNST		1	1	88	1.1%	No
UBAP1		1	1	88	1.1%	No
DNAJC27		1	1	88	1.1%	No
PRKACA		2	2	88	2.3%	Yes
HDX		1	1	88	1.1%	No
MFAP1		1	1	88	1.1%	No
TARS1		1	1	88	1.1%	No
C1RL		1	1	88	1.1%	No
ANXA4		1	1	88	1.1%	No
IQSEC1		1	1	88	1.1%	No
CHD7		3	3	88	3.4%	No
ANXA6		1	1	88	1.1%	No
LPGAT1		1	1	88	1.1%	No
AKAP11		1	1	88	1.1%	No
PRKCD		1	1	88	1.1%	No
PRKCE		3	3	88	3.4%	No
KBTBD6		1	1	88	1.1%	No
FBXL2		1	1	88	1.1%	No
DLEC1		1	1	88	1.1%	No
GIGYF1		1	1	88	1.1%	No
ZIM3		1	1	88	1.1%	No
B3GLCT		1	1	88	1.1%	No
LAMB4		1	1	88	1.1%	No
GBP4		1	1	88	1.1%	No
ZNF93		1	1	88	1.1%	No
GBP5		1	1	88	1.1%	No
TLR7		1	1	88	1.1%	No
ACSS3		2	2	88	2.3%	No
AOC2		1	1	88	1.1%	No
SCGB2A1		1	1	88	1.1%	No
PRKCA		1	1	88	1.1%	No
PRKCB		1	1	88	1.1%	No
PUM3		1	1	88	1.1%	No
OR1N1		1	1	88	1.1%	No
PRKDC		1	1	88	1.1%	Yes
CIAO2A		1	1	88	1.1%	No
NIPBL		1	1	88	1.1%	No
HS3ST4		1	1	88	1.1%	No
USP12		1	1	88	1.1%	No
MAPK7		1	1	88	1.1%	No
HECTD1		1	1	88	1.1%	No
NBPF14		1	1	88	1.1%	No
PCDH12		2	2	88	2.3%	No
APBA1		1	1	88	1.1%	No
FCRL3		1	1	88	1.1%	No
THEG		1	1	88	1.1%	No
PRDM10		1	1	88	1.1%	No
LRRC42		1	1	88	1.1%	No
KLHL10		1	1	88	1.1%	No
AIRE		1	1	88	1.1%	No
IFTAP		1	1	88	1.1%	No
CRYZL1		2	2	88	2.3%	No
PRKCSH		2	2	88	2.3%	No
IL33		2	2	88	2.3%	No
FATE1		1	1	88	1.1%	No
CADPS		2	2	88	2.3%	No
SNX31		1	1	88	1.1%	No
GDAP1		1	1	88	1.1%	No
BCL6B		1	1	88	1.1%	No
RPP40		1	1	88	1.1%	No
FAM184A		1	1	88	1.1%	No
PRPF40A		1	1	88	1.1%	No
DENND4C		1	1	88	1.1%	No
FAT4		1	1	88	1.1%	Yes
CHPT1		1	1	88	1.1%	No
APOB		3	3	88	3.4%	No
USP15		1	1	88	1.1%	No
ZNF460		1	1	88	1.1%	No
RFXANK		2	2	88	2.3%	No
ADAMTS9		1	1	88	1.1%	No
ZNF268		1	1	88	1.1%	No
OR5I1		1	1	88	1.1%	No
UBA52		1	1	88	1.1%	No
MKI67		1	1	88	1.1%	Yes
CCS		1	1	88	1.1%	No
TRPV3		1	1	88	1.1%	No
PTCH2		1	1	88	1.1%	No
ATP8B3		1	1	88	1.1%	No
NBPF1		1	1	88	1.1%	No
MED12		1	1	88	1.1%	Yes
MED13		1	1	88	1.1%	No
TNFAIP8L2		1	1	88	1.1%	No
TYRP1		1	1	88	1.1%	No
THRAP3		1	1	88	1.1%	No
SH3TC2		1	1	88	1.1%	No
MAP3K9		2	2	88	2.3%	No
MAP3K10		1	1	88	1.1%	No
PKHD1L1		2	2	88	2.3%	No
KMT2A		2	2	88	2.3%	Yes
MAP4K1		1	1	88	1.1%	No
INMT		1	1	88	1.1%	No
STAB1		1	1	88	1.1%	No
EFR3A		2	2	88	2.3%	No
PCDHGC4		1	1	88	1.1%	No
RBM46		1	1	88	1.1%	No
RNF182		1	1	88	1.1%	No
APP		1	1	88	1.1%	No
CCNB3		5	5	88	5.7%	Yes
SHROOM2		1	1	88	1.1%	No
MPRIP		1	1	88	1.1%	No
SLC22A16		1	1	88	1.1%	No
FXYD5		1	1	88	1.1%	No
CEP250		1	1	88	1.1%	No
RGS7		1	1	88	1.1%	No
EIF3A		2	2	88	2.3%	No
P2RY13		1	1	88	1.1%	No
ABCB8		2	2	88	2.3%	No
SEC23IP		2	2	88	2.3%	No
LRRIQ3		1	1	88	1.1%	No
PITPNC1		1	1	88	1.1%	No
ERICH3		3	3	88	3.4%	No
SLC12A6		1	1	88	1.1%	No
CCDC127		1	1	88	1.1%	No
DNAJC14		1	1	88	1.1%	No
AR		1	1	88	1.1%	Yes
SEPTIN8		1	1	88	1.1%	No
IL20RA		1	1	88	1.1%	No
ABCB7		1	1	88	1.1%	No
SUMO1		1	1	88	1.1%	No
ABCF1		2	2	88	2.3%	No
SLC4A4		2	2	88	2.3%	No
UBP1		1	1	88	1.1%	No
AOC1		1	1	88	1.1%	No
STX10		1	1	88	1.1%	No
STX16		1	1	88	1.1%	No
NUDT5		1	1	88	1.1%	No
ABR		1	1	88	1.1%	No
ZC3H3		1	1	88	1.1%	No
BTNL9		1	1	88	1.1%	No
IGLC7		1	1	88	1.1%	No
FCHO1		1	1	88	1.1%	No
PCGF6		1	1	88	1.1%	No
ZZEF1		1	1	88	1.1%	No
DDIT4L		1	1	88	1.1%	No
ANKLE2		1	1	88	1.1%	No
C4ORF17		1	1	88	1.1%	No
LRCH1		2	2	88	2.3%	No
RHD		1	1	88	1.1%	No
PSIP1		1	1	88	1.1%	Yes
DND1		1	1	88	1.1%	No
MARCO		1	1	88	1.1%	No
ADAMTS7		1	1	88	1.1%	No
ACAT1		1	1	88	1.1%	No
KRT36		1	1	88	1.1%	No
BIVM-ERCC5		1	1	88	1.1%	No
ADAMTS6		2	2	88	2.3%	No
ARF5		1	1	88	1.1%	No
RHOA		1	1	88	1.1%	Yes
CIC		1	1	88	1.1%	Yes
BAZ1A		1	1	88	1.1%	No
BAZ2A		1	1	88	1.1%	No
RLN2		1	1	88	1.1%	No
AMER1		1	1	88	1.1%	Yes
UGT2B7		1	1	88	1.1%	No
CDC37		1	1	88	1.1%	No
ACR		1	1	88	1.1%	No
UGT2B15		1	1	88	1.1%	No
CLASP2		1	1	88	1.1%	No
CAMTA2		1	1	88	1.1%	No
TMEM59L		1	1	88	1.1%	No
RAD54B		1	1	88	1.1%	No
PLXND1		2	2	88	2.3%	No
